Title	Wikipedia Link	IMDB Link	IMDB ID	Mismatched IMDB	Rotten Tomatoes Link	Mismatched Rotten Tomatoes	Metacritic Link	Mismatched Metacritic	Box Office Mojo Link
Escape Room	https://en.wikipedia.org/wiki/Escape_Room_(film)	http://www.imdb.com/title/tt5886046/	tt5886046	False	http://www.rottentomatoes.com/m/escape_room_2019	False	http://www.metacritic.com/movie/escape-room	False	https://www.boxofficemojo.com/title/tt5886046/
Rust Creek	https://en.wikipedia.org/wiki/Rust_Creek	http://www.imdb.com/title/tt6610158/	tt6610158	False	http://www.rottentomatoes.com/m/rust_creek/	False	http://www.metacritic.com/movie/rust-creek	False	https://www.boxofficemojo.com/title/tt6610158/
A Dog's Way Home	https://en.wikipedia.org/wiki/A_Dog%27s_Way_Home	http://www.imdb.com/title/tt7616798/	tt7616798	False	http://www.rottentomatoes.com/m/a_dogs_way_home	False	http://www.metacritic.com/movie/a-dogs-way-home	False	https://www.boxofficemojo.com/title/tt7616798/
The Upside	https://en.wikipedia.org/wiki/The_Upside	http://www.imdb.com/title/tt1987680/	tt1987680	True	http://www.rottentomatoes.com/m/the_upside	False	http://www.metacritic.com/movie/the-upside	False	https://www.boxofficemojo.com/title/tt1987680/
Replicas	https://en.wikipedia.org/wiki/Replicas_(film)	http://www.imdb.com/title/tt4154916/	tt4154916	False	http://www.rottentomatoes.com/m/replicas_2019	False	http://www.metacritic.com/movie/replicas-2018	False	https://www.boxofficemojo.com/title/tt4154916/
After Darkness	https://en.wikipedia.org/wiki/After_Darkness_(2019_film)	http://www.imdb.com/title/tt2728784/	tt2728784	False	http://www.rottentomatoes.com/m/after_darkness_2018	False	None	None	https://www.boxofficemojo.com/title/tt2728784/
Glass	https://en.wikipedia.org/wiki/Glass_(2019_film)	http://www.imdb.com/title/tt6823368/	tt6823368	False	http://www.rottentomatoes.com/m/glass_2019	False	http://www.metacritic.com/movie/glass	False	https://www.boxofficemojo.com/title/tt6823368/
Close	https://en.wikipedia.org/wiki/Close_(film)	http://www.imdb.com/title/tt5316540/	tt5316540	False	http://www.rottentomatoes.com/m/close_2019/	False	http://www.metacritic.com/movie/close	False	https://www.boxofficemojo.com/title/tt5316540/
The Standoff at Sparrow Creek	https://en.wikipedia.org/wiki/The_Standoff_at_Sparrow_Creek	http://www.imdb.com/title/tt5304996/	tt5304996	False	http://www.rottentomatoes.com/m/the_standoff_at_sparrow_creek	False	http://www.metacritic.com/movie/the-standoff-at-sparrow-creek	False	https://www.boxofficemojo.com/title/tt5304996/
The Final Wish	https://en.wikipedia.org/wiki/The_Final_Wish	http://www.imdb.com/title/tt9109306/	tt9109306	False	http://www.rottentomatoes.com/m/the_final_wish	False	http://www.metacritic.com/movie/the-final-wish	False	https://www.boxofficemojo.com/title/tt9109306/
The Kid Who Would Be King	https://en.wikipedia.org/wiki/The_Kid_Who_Would_Be_King	http://www.imdb.com/title/tt6811018/	tt6811018	False	http://www.rottentomatoes.com/m/the_kid_who_would_be_king	False	http://www.metacritic.com/movie/the-kid-who-would-be-king	False	https://www.boxofficemojo.com/title/tt6811018/
Serenity	https://en.wikipedia.org/wiki/Serenity_(2019_film)	http://www.imdb.com/title/tt6476140/	tt6476140	False	http://www.rottentomatoes.com/m/serenity_2019	False	http://www.metacritic.com/movie/serenity-2018	False	https://www.boxofficemojo.com/title/tt6476140/
I Am Mother	https://en.wikipedia.org/wiki/I_Am_Mother	http://www.imdb.com/title/tt6292852/	tt6292852	False	http://www.rottentomatoes.com/m/i_am_mother	False	http://www.metacritic.com/movie/i-am-mother	False	https://www.boxofficemojo.com/title/tt6292852/
The Vast of Night	https://en.wikipedia.org/wiki/The_Vast_of_Night	http://www.imdb.com/title/tt6803046/	tt6803046	False	http://www.rottentomatoes.com/m/the_vast_of_night	False	http://www.metacritic.com/movie/the-vast-of-night	False	https://www.boxofficemojo.com/title/tt6803046/
Miss Bala	https://en.wikipedia.org/wiki/Miss_Bala_(2019_film)	http://www.imdb.com/title/tt5941692/	tt5941692	False	http://www.rottentomatoes.com/m/miss_bala_2019	False	http://www.metacritic.com/movie/miss-bala-2019	False	https://www.boxofficemojo.com/title/tt5941692/
Velvet Buzzsaw	https://en.wikipedia.org/wiki/Velvet_Buzzsaw	http://www.imdb.com/title/tt7043012/	tt7043012	False	http://www.rottentomatoes.com/m/Velvet_buzzsaw	False	http://www.metacritic.com/movie/velvet-buzzsaw	False	https://www.boxofficemojo.com/title/tt7043012/
Piercing	https://en.wikipedia.org/wiki/Piercing_(film)	http://www.imdb.com/title/tt6516314/	tt6516314	False	http://www.rottentomatoes.com/m/piercing	False	http://www.metacritic.com/movie/piercing	False	https://www.boxofficemojo.com/title/tt6516314/
The Lego Movie 2: The Second Part	https://en.wikipedia.org/wiki/The_Lego_Movie_2:_The_Second_Part	http://www.imdb.com/title/tt3513498/	tt3513498	False	http://www.rottentomatoes.com/m/the_lego_movie_2_the_second_part	False	http://www.metacritic.com/movie/the-lego-movie-2-the-second-part	False	https://www.boxofficemojo.com/title/tt3513498/
What Men Want	https://en.wikipedia.org/wiki/What_Men_Want	http://www.imdb.com/title/tt7634968/	tt7634968	False	http://www.rottentomatoes.com/m/what_men_want_2019	False	http://www.metacritic.com/movie/what-men-want	False	https://www.boxofficemojo.com/title/tt7634968/
Cold Pursuit	https://en.wikipedia.org/wiki/Cold_Pursuit	http://www.imdb.com/title/tt5719748/	tt5719748	False	http://www.rottentomatoes.com/m/cold_pursuit	False	http://www.metacritic.com/movie/cold-pursuit	False	https://www.boxofficemojo.com/title/tt5719748/
High Flying Bird	https://en.wikipedia.org/wiki/High_Flying_Bird	http://www.imdb.com/title/tt8128188/	tt8128188	False	http://www.rottentomatoes.com/m/high_flying_bird	False	http://www.metacritic.com/movie/high-flying-bird	False	https://www.boxofficemojo.com/title/tt8128188/
